"","Geneid","log2FC_CvsOH","padj_CvsOH","GeneSymbol","biotype"
"127","ENSG00000261534",-1.56613804804011,7.48363340245245e-13,"AL596244.1","lncRNA"
"128","ENSG00000261604",-2.39149986897153,1.69414288919304e-82,"AC114947.2","lncRNA"
"129","ENSG00000261663",-1.25856071030898,0.000120207087728419,"AC009065.9","lncRNA"
"130","ENSG00000261898",-1.29830428495541,2.09881165122154e-10,"AC091153.4","lncRNA"
"131","ENSG00000262116",-2.06451233862253,0.000133110838612057,"AC009134.1","lncRNA"
"132","ENSG00000262313",-1.19246423102969,0.000530315907907904,"AC127496.3","lncRNA"
"133","ENSG00000262413",-1.5166518504461,1.41240116042736e-114,"AC145207.2","lncRNA"
"134","ENSG00000262624",-1.59278097085324,2.19215110170015e-06,"AC113189.1","lncRNA"
"135","ENSG00000262662",-1.19471983812965,0.000101687670088087,"AC127496.4","lncRNA"
"136","ENSG00000263342",-4.39401055107644,0.00935400241297847,"AC003688.3","lncRNA"
"137","ENSG00000263873",-1.65482408192844,9.8156667924074e-110,"AP003396.5","lncRNA"
"138","ENSG00000264044",-1.20930946989624,1.72763795279179e-12,"AC005726.2","lncRNA"
"139","ENSG00000264301",-2.44134713522146,0.0033726437713108,"LINC01444","lncRNA"
"140","ENSG00000264443",-1.11392432885805,7.28203123475967e-09,"NCMAP-DT","lncRNA"
"141","ENSG00000264785",-2.13585946377196,8.07612617490787e-08,"AC005722.4","lncRNA"
"142","ENSG00000265168",-1.70897082538722,1.87525476506308e-52,"AC005726.3","lncRNA"
"143","ENSG00000265415",-2.33503516297954,4.89804419859779e-112,"AC099850.4","lncRNA"
"144","ENSG00000265579",-1.87715269174449,6.87344704898661e-15,"AC023301.1","lncRNA"
"145","ENSG00000265784",-1.1145824264048,1.08706644409004e-48,"AC006441.3","lncRNA"
"146","ENSG00000266896",-1.94994890249145,0.00517253942807935,"AL354892.3","lncRNA"
"147","ENSG00000267141",-3.27995917832529,0.0248638154075039,"AC012615.4","lncRNA"
"148","ENSG00000267379",-1.02614530358364,4.54979008059517e-11,"AC008569.1","lncRNA"
